step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.85,5.7565,+0.0272,2.8823,2.8743,0.5523,+0.0009,8.8511,21.2370
1,0.87,5.5351,+0.0032,2.9040,2.6310,0.4703,+0.1608,7.6483,19.8106
2,0.88,5.5051,-0.0381,2.9157,2.5894,0.3745,+0.3739,7.0141,19.3387
3,0.86,5.4856,+0.0319,3.1820,2.3036,2.1735,+0.2168,7.3086,17.9864
4,0.87,5.2756,+0.0975,2.9223,2.3532,0.3870,+0.3585,6.1190,16.2601
5,0.86,5.1914,-0.0172,2.8952,2.2963,0.1996,+0.2995,5.3377,15.6338
6,0.88,5.2113,+0.0647,2.9549,2.2564,0.2718,+0.2451,5.7264,15.6440
7,0.89,5.1375,-0.0094,2.8608,2.2767,0.1909,+0.2662,5.1434,15.6375
8,0.89,5.0294,-0.0234,2.8038,2.2256,0.0935,+0.3865,4.2067,14.0013
9,0.88,5.0161,-0.0268,2.8186,2.1976,0.1773,+0.2490,4.5544,14.9502
10,0.86,4.9797,-0.0483,2.8182,2.1615,0.1194,+0.1582,3.4729,13.1951
11,0.87,4.9662,-0.0226,2.8098,2.1565,0.1496,+0.2463,3.1097,11.6695
12,0.87,4.9514,+0.0030,2.8143,2.1371,0.1352,+0.0936,2.6564,11.5890
13,0.87,4.9109,-0.0385,2.8171,2.0938,0.1440,+0.3515,3.0561,11.0027
14,0.89,4.8927,-0.0568,2.8197,2.0731,0.1435,+0.3443,2.9711,10.0646
15,0.88,4.9350,-0.0319,2.8032,2.1317,0.1375,+0.3485,2.7734,10.6117
16,0.86,4.8818,-0.0391,2.8022,2.0797,0.0959,+0.3892,2.7227,9.1148
17,0.88,4.8767,-0.0404,2.7950,2.0817,0.0828,+0.3945,2.7140,9.0579
18,0.87,4.8902,-0.0688,2.7633,2.1270,0.1089,+0.4020,2.7974,9.5309
19,0.88,4.8182,-0.0058,2.7729,2.0453,0.0581,+0.4316,3.0360,9.5692
20,0.89,4.8085,+0.0191,2.7891,2.0194,0.0667,+0.5786,2.4682,9.2453
21,0.89,4.8081,+0.0055,2.7509,2.0572,0.0641,+0.5518,2.6378,9.6436
22,0.88,4.7799,+0.0066,2.7089,2.0710,0.0583,+0.5211,2.2412,8.0550
23,0.88,4.8208,+0.0154,2.7466,2.0742,0.0695,+0.4495,2.6624,8.9433
24,0.87,4.7696,-0.0032,2.7014,2.0683,0.0597,+0.2778,2.2012,6.9311
25,0.87,4.7685,+0.0277,2.7402,2.0282,0.0492,+0.3040,2.4969,7.6569
26,0.87,4.7490,-0.0160,2.7034,2.0456,0.0331,+0.3525,2.4803,7.3304
27,0.89,4.7625,-0.0262,2.7235,2.0390,0.0384,+0.3289,2.2904,6.6760
28,0.88,4.7665,+0.0117,2.7006,2.0659,0.0417,+0.4665,2.4820,6.8639
