step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.83,4.7596,+0.0638,2.2499,2.5098,0.3433,-0.5796,24.6944,65.1349
1,0.85,4.5870,+0.0324,2.2393,2.3477,0.4994,-0.7023,20.5098,63.6007
2,0.86,4.4990,+0.0346,2.2261,2.2728,0.2947,-1.0656,24.5933,63.1409
3,0.85,4.4350,+0.0181,2.2435,2.1914,0.1991,-0.5135,25.3712,65.4690
4,0.84,4.3863,+0.0003,2.2410,2.1453,0.1595,-0.6735,25.4927,61.6457
5,0.86,4.3690,+0.0309,2.2307,2.1384,0.1818,-0.5031,25.1002,62.0680
6,0.82,4.3061,-0.0138,2.1944,2.1118,0.0956,-0.6395,23.2229,60.2601
7,0.84,4.2851,-0.0028,2.2256,2.0594,0.1604,-0.5776,22.2919,56.0861
8,0.86,4.3120,+0.0576,2.1999,2.1121,0.1525,-0.6876,23.6108,55.8500
9,0.83,4.2963,-0.0004,2.2049,2.0914,0.1030,-0.7488,23.8229,57.8111
10,0.84,4.2508,+0.0150,2.1834,2.0675,0.1494,-0.8152,22.0945,55.8665
11,0.83,4.2730,-0.0481,2.1685,2.1044,0.0829,-0.9537,22.1549,56.5484
12,0.82,4.2507,-0.0440,2.1587,2.0920,0.0747,-0.6738,19.1206,52.3075
13,0.84,4.2745,-0.0234,2.1414,2.1331,0.1423,-0.6523,18.1952,51.5049
14,0.85,4.2453,-0.0287,2.1546,2.0907,0.1282,-0.6542,17.6744,51.9934
15,0.84,4.2525,-0.0033,2.1690,2.0835,0.0878,-0.3664,16.5107,47.2421
16,0.85,4.1750,-0.0253,2.1586,2.0163,0.0865,-0.2311,16.7227,45.6493
17,0.84,4.1954,-0.0052,2.1831,2.0123,0.1247,+0.2313,16.2395,44.8949
18,0.87,4.1909,+0.0058,2.2028,1.9881,0.1136,+0.2585,15.3456,46.2417
19,0.84,4.2053,+0.0033,2.2064,1.9989,0.1432,+0.5520,13.5774,45.1208
20,0.83,4.1784,+0.0076,2.1720,2.0064,0.1276,+0.1860,14.3938,44.4315
21,0.87,4.1666,+0.0291,2.1393,2.0273,0.0536,+0.3620,14.9218,45.5591
22,0.82,4.1288,-0.0060,2.1148,2.0140,0.0694,+0.3317,15.6288,45.7855
23,0.84,4.1671,+0.0123,2.1164,2.0507,0.0612,+0.5032,15.1988,43.9543
24,0.85,4.1677,-0.0353,2.1219,2.0458,0.0753,+0.4325,13.7392,41.4295
25,0.87,4.0973,-0.0468,2.1003,1.9969,0.1328,+0.7834,14.5211,42.0901
26,0.84,4.1345,+0.0204,2.1069,2.0276,0.0467,+0.7985,13.6554,42.8625
27,0.84,4.1372,-0.0205,2.1181,2.0191,0.0708,+0.7221,14.8062,42.9644
28,0.85,4.1295,-0.0083,2.1093,2.0202,0.0776,+0.7864,14.3490,41.8421
29,0.86,4.1392,-0.0171,2.1258,2.0134,0.0647,+0.4121,14.6950,41.1173
30,0.83,4.1602,-0.0079,2.1058,2.0545,0.5588,+0.6288,11.9536,40.0235
31,0.87,4.1460,+0.0088,2.1593,1.9867,0.1019,+0.7104,12.6896,42.7673
32,0.83,4.1051,+0.0160,2.0972,2.0079,0.0465,+0.5930,13.3249,41.1598
33,0.86,4.1347,-0.0160,2.1125,2.0221,0.0744,+0.4430,14.2753,41.6085
34,0.83,4.1272,-0.0517,2.0904,2.0368,0.0496,+0.1593,12.0851,36.6794
35,0.82,4.0817,-0.0030,2.0293,2.0525,0.0336,+0.2035,11.4396,33.7102
36,0.85,4.0786,-0.0344,2.0525,2.0262,0.0690,+0.2008,11.6030,31.6205
37,0.85,4.0804,+0.0103,2.0303,2.0501,0.0310,+0.1892,12.0022,32.7968
38,0.85,4.0869,-0.0032,2.0317,2.0552,0.0524,+0.2869,9.7580,31.2569
39,0.85,4.0998,+0.0180,2.0502,2.0496,0.0460,+0.5473,9.6750,31.8986
40,0.86,4.0917,+0.0114,2.0312,2.0605,0.0324,+0.2793,9.0138,27.9388
41,0.85,4.0626,-0.0294,2.0253,2.0373,0.0295,-0.0138,7.8898,27.3675
42,0.81,4.0857,-0.0078,2.0378,2.0479,0.0335,-0.0982,8.8481,27.7304
43,0.83,4.0592,-0.0229,2.0138,2.0454,0.0222,+0.0525,8.7402,26.3510
44,0.85,4.0576,+0.0053,2.0198,2.0378,0.0248,+0.0570,8.5151,26.4607
45,0.85,4.0685,+0.0013,2.0272,2.0413,0.0278,+0.3632,9.1101,28.3736
46,0.85,4.0425,+0.0005,2.0116,2.0309,0.0272,+0.2206,9.3055,25.2538
47,0.84,4.0524,-0.0089,1.9933,2.0591,0.0219,+0.1091,8.0344,26.1735
48,0.85,4.0304,+0.0146,1.9758,2.0546,0.0189,+0.2415,8.6701,24.6737
49,0.85,4.0306,+0.0181,1.9701,2.0605,0.0158,-0.0261,7.1820,20.8358
50,0.84,4.0580,+0.0111,1.9936,2.0644,0.0288,-0.1687,7.8090,23.1952
51,0.85,4.0483,-0.0006,2.0069,2.0414,0.0311,-0.0227,8.2162,24.7057
52,0.86,4.0382,+0.0108,2.0106,2.0276,0.0182,+0.0468,8.4233,25.6804
53,0.83,4.0441,+0.0053,2.0118,2.0323,0.0176,+0.2311,7.9327,25.2345
54,0.84,4.0374,-0.0023,2.0321,2.0054,0.0245,+0.2676,7.5304,26.1215
55,0.83,4.0495,+0.0068,2.0196,2.0299,0.0206,+0.2956,8.4316,26.5482
56,0.83,4.0243,-0.0024,2.0095,2.0148,0.0176,+0.1159,7.4166,24.2279
57,0.84,4.0153,+0.0011,2.0019,2.0133,0.0190,+0.3967,7.9683,23.7798
58,0.83,4.0394,-0.0062,2.0059,2.0335,0.0228,+0.2041,8.0245,23.8419
59,0.85,4.0447,+0.0000,2.0058,2.0390,0.0392,-0.2413,8.6127,24.3335
60,0.85,4.0284,+0.0149,2.0153,2.0131,0.0213,-0.0882,7.8380,22.7567
61,0.84,4.0174,+0.0056,2.0067,2.0107,0.0183,-0.1221,8.5766,24.7437
62,0.85,4.0290,+0.0006,1.9996,2.0294,0.0242,-0.1834,8.4688,24.9093
63,0.83,4.0027,+0.0139,1.9800,2.0227,0.0352,+0.1604,8.1267,21.7745
64,0.84,4.0009,+0.0011,1.9878,2.0132,0.0288,-0.2746,6.8875,20.0258
65,0.83,3.9920,+0.0004,1.9775,2.0145,0.0336,-0.1348,5.8553,19.4882
66,0.83,4.0184,+0.0074,1.9795,2.0389,0.0282,-0.1313,6.2211,19.5608
67,0.83,4.0122,-0.0268,2.0040,2.0082,0.0159,-0.1521,5.9935,19.1520
68,0.84,4.0055,+0.0002,1.9722,2.0333,0.0233,-0.0513,6.0004,17.8906
69,0.86,4.0390,+0.0079,2.0105,2.0285,0.0384,-0.2203,8.2442,20.6881
70,0.86,4.0213,+0.0034,1.9970,2.0242,0.0356,-0.0630,6.3134,21.1752
