step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.45,4.6719,-0.0158,2.1714,2.5005,0.3484,+0.0519,21.9721,65.0878
1,0.47,4.6506,-0.0204,2.2029,2.4476,0.3262,-0.3184,24.7259,66.9786
2,0.47,4.7512,+0.0233,2.2813,2.4699,0.6411,-0.3983,26.0183,67.4821
3,0.45,4.5418,+0.0323,2.1345,2.4073,0.2821,-0.3148,19.8404,57.7640
4,0.46,4.5121,+0.0026,2.1636,2.3485,0.6516,+0.4398,18.2627,63.1186
5,0.47,4.6932,-0.0852,2.2330,2.4602,0.4139,-0.1162,23.3790,64.9809
6,0.51,4.6473,-0.0692,2.2088,2.4385,0.4094,+0.0867,24.7830,65.7701
7,0.46,4.6379,-0.0798,2.2135,2.4244,0.4066,-0.1365,25.0374,62.3740
8,0.45,4.5633,+0.0058,2.1844,2.3789,0.3210,+0.2034,26.3867,67.2132
9,0.50,4.5510,-0.0252,2.1334,2.4176,0.2603,+0.0670,21.7540,58.1195
10,0.54,4.2328,-0.0035,2.2093,2.0236,0.1463,+0.6881,17.5486,57.8928
11,0.50,4.2213,-0.0050,2.2047,2.0166,0.1153,+0.8887,18.4585,58.6977
12,0.53,4.2368,-0.0208,2.1643,2.0725,0.1044,+0.5307,17.5019,58.5013
13,0.51,4.2442,-0.0086,2.1805,2.0637,0.1198,+0.5463,17.6502,58.6096
14,0.48,4.2345,-0.0197,2.1912,2.0433,0.1251,+0.4145,17.0655,57.2370
15,0.48,4.2248,+0.0012,2.1373,2.0875,0.1082,+0.4227,13.5067,49.9494
16,0.48,4.2327,+0.0112,2.1861,2.0466,0.1314,+0.5078,14.0619,55.5809
17,0.51,4.2112,-0.0069,2.1740,2.0373,0.1086,+0.5307,17.7186,60.9418
18,0.52,4.2530,+0.0098,2.1785,2.0745,0.0942,+0.3672,16.6347,64.5381
19,0.51,4.2651,+0.0122,2.2343,2.0308,0.1037,-0.1981,16.8382,60.8231
20,0.52,4.1408,+0.0069,2.1237,2.0171,0.0510,+0.2620,15.0791,50.8099
21,0.51,4.1914,+0.0128,2.1847,2.0067,0.1192,+0.4606,17.5307,49.9410
22,0.49,4.1332,-0.0091,2.1203,2.0129,0.0658,+0.2545,14.1265,44.7281
23,0.50,4.1347,+0.0024,2.1050,2.0296,0.0747,+0.3019,13.9473,45.7637
24,0.48,4.1588,+0.0185,2.1414,2.0173,0.0642,+0.3445,16.8726,53.0514
25,0.50,4.1919,+0.0094,2.1506,2.0414,0.0835,+0.4177,15.5250,50.0525
26,0.48,4.1543,-0.0082,2.1392,2.0151,0.0678,+0.1280,15.2001,46.2553
27,0.50,4.1596,+0.0102,2.1231,2.0365,0.0884,+0.6232,15.0692,47.3865
