step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.50,4.6946,+0.0011,2.2750,2.4196,0.5316,+0.1845,26.5862,71.7084
1,0.49,4.7037,-0.0663,2.2803,2.4234,0.3424,+0.2527,23.0413,73.1203
2,0.49,4.4947,+0.0326,2.1915,2.3031,0.3519,+0.3191,21.9070,66.7199
3,0.50,4.5169,-0.0316,2.1760,2.3409,0.2867,-0.1748,22.7098,59.1698
4,0.46,4.4930,-0.0083,2.2341,2.2589,0.2992,-0.3013,18.3671,58.4822
5,0.48,4.4540,-0.0173,2.1983,2.2557,0.2287,-0.6068,18.5656,56.8626
6,0.50,4.3708,-0.0347,2.1500,2.2208,0.2052,-0.5386,18.6065,53.9166
7,0.52,4.3231,-0.0510,2.1922,2.1308,0.2650,-1.2247,16.5134,51.6386
8,0.50,4.2836,-0.0254,2.1253,2.1583,0.1973,-0.5421,15.6815,52.9646
9,0.52,4.2861,-0.0216,2.1531,2.1330,0.1485,-1.3314,17.2063,46.1859
10,0.50,4.3113,+0.0211,2.1579,2.1535,0.1577,-0.8023,17.9638,51.4943
11,0.48,4.2478,+0.0216,2.1195,2.1282,0.1340,-0.5655,14.3046,44.6505
12,0.49,4.2886,-0.0080,2.1247,2.1638,0.1693,-0.4854,14.7201,48.0373
13,0.51,4.2158,+0.0318,2.1477,2.0681,0.1559,-0.4224,11.4044,43.9218
14,0.48,4.2363,-0.0243,2.1016,2.1347,0.1202,-0.3112,10.4405,42.7411
15,0.48,4.1301,+0.0193,2.0785,2.0515,0.0939,-0.2645,12.4210,41.1285
16,0.47,4.1694,+0.0050,2.0429,2.1265,0.0744,+0.0846,10.6190,38.2772
17,0.49,4.1859,-0.0022,2.1008,2.0851,0.0978,+0.1529,11.2288,41.3069
18,0.48,4.1438,+0.0031,2.0575,2.0862,0.0689,+0.2938,11.1478,37.2394
19,0.47,4.2017,+0.0452,2.1268,2.0749,0.0883,+0.5360,12.1425,40.7265
20,0.49,4.1429,+0.0067,2.0928,2.0501,0.0658,+0.1880,11.0035,36.4134
21,0.47,4.1395,+0.0016,2.1033,2.0362,0.0823,+0.5566,8.6280,31.5778
22,0.50,4.1331,+0.0111,2.0963,2.0368,0.0730,+0.2828,10.1192,34.4664
23,0.50,4.1369,-0.0318,2.0683,2.0686,0.0621,+0.4997,10.2075,34.0718
24,0.49,4.1160,-0.0013,2.0804,2.0357,0.0450,+0.3774,8.9290,32.9679
25,0.45,4.1260,-0.0234,2.0477,2.0783,0.0578,-0.0689,8.0658,33.5459
