step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.84,4.6189,+0.0013,2.1961,2.4228,0.3487,+0.3032,21.3531,64.8773
1,0.84,4.5079,+0.0031,2.1907,2.3172,0.3345,+0.3062,20.6711,62.9968
2,0.84,4.4387,+0.0040,2.1918,2.2469,0.2727,+0.3406,20.0569,61.0710
3,0.84,4.3727,-0.0055,2.1907,2.1819,0.2237,+0.2401,19.1239,58.9428
4,0.84,4.3179,+0.0025,2.1874,2.1304,0.1827,+0.1260,18.5079,57.2869
5,0.84,4.2728,+0.0073,2.1778,2.0950,0.1441,+0.0602,17.6047,53.7347
6,0.84,4.2263,-0.0050,2.1636,2.0628,0.1291,-0.0056,16.5970,50.3855
7,0.84,4.1865,+0.0038,2.1579,2.0286,0.1319,-0.0525,15.6965,46.7619
8,0.84,4.1814,-0.0049,2.1552,2.0262,0.1020,+0.0223,15.2112,45.0742
9,0.84,4.1487,-0.0079,2.1407,2.0080,0.0809,+0.0112,13.5021,41.1979
10,0.84,4.1396,+0.0019,2.1289,2.0106,0.0919,+0.0215,12.5693,39.3048
11,0.84,4.1133,+0.0068,2.1109,2.0024,0.0676,+0.0052,12.0604,37.1375
12,0.84,4.0967,-0.0034,2.0960,2.0006,0.0583,+0.0574,11.2174,34.6872
13,0.85,4.0863,+0.0049,2.0875,1.9987,0.0645,+0.0297,9.8497,31.8739
14,0.84,4.0731,-0.0057,2.0717,2.0014,0.0483,+0.1043,9.6353,30.2029
15,0.84,4.0564,+0.0062,2.0658,1.9906,0.0520,+0.0243,8.6046,27.6776
16,0.84,4.0569,-0.0095,2.0568,2.0001,0.0518,+0.0104,8.2673,25.9433
17,0.84,4.0419,+0.0004,2.0510,1.9909,0.0526,-0.0535,7.6481,24.9808
18,0.83,4.0349,+0.0030,2.0511,1.9838,0.0520,-0.0498,7.2402,23.5618
19,0.84,4.0337,+0.0072,2.0392,1.9945,0.0460,-0.0389,7.0646,22.3367
20,0.84,4.0236,+0.0038,2.0262,1.9974,0.0401,-0.0192,7.0744,21.7903
21,0.84,4.0084,+0.0009,2.0189,1.9895,0.0406,-0.0061,6.5041,20.6426
22,0.84,4.0141,+0.0041,2.0155,1.9986,0.0446,-0.0422,6.2333,19.6531
23,0.83,4.0084,+0.0027,2.0073,2.0011,0.0359,-0.0542,6.3709,19.6853
24,0.83,4.0052,+0.0047,1.9998,2.0054,0.0343,-0.0087,6.4578,19.3511
25,0.84,4.0011,-0.0011,1.9969,2.0042,0.0357,+0.0024,5.9830,18.6447
26,0.83,3.9955,-0.0021,1.9859,2.0097,0.0357,+0.0065,5.9396,17.5301
27,0.84,3.9966,+0.0024,1.9818,2.0148,0.0389,+0.0369,5.9283,17.6961
28,0.83,3.9936,+0.0000,1.9767,2.0169,0.0326,-0.0217,5.8186,17.2681
29,0.83,3.9858,-0.0010,1.9732,2.0126,0.0357,-0.0884,5.3583,16.4928
30,0.84,3.9840,-0.0010,1.9684,2.0156,0.0345,-0.0890,5.1657,16.1208
31,0.83,3.9839,+0.0010,1.9634,2.0206,0.0321,-0.0717,5.1502,16.1535
32,0.84,3.9758,-0.0014,1.9572,2.0187,0.0309,-0.0527,4.8615,15.5193
33,0.84,3.9768,+0.0026,1.9552,2.0216,0.0339,-0.0202,4.8698,15.3094
34,0.84,3.9814,-0.0027,1.9528,2.0287,0.0283,-0.0082,4.6179,15.4370
35,0.84,3.9834,+0.0001,1.9517,2.0317,0.0355,-0.0393,4.6582,14.9589
36,0.84,3.9778,-0.0012,1.9505,2.0274,0.0334,+0.0101,4.5622,15.2543
37,0.84,3.9731,-0.0006,1.9496,2.0236,0.0330,+0.0441,4.3976,14.2630
38,0.84,3.9663,-0.0047,1.9473,2.0190,0.0312,+0.0780,4.3508,14.3660
39,0.83,3.9740,-0.0014,1.9465,2.0275,0.0343,+0.0054,4.2454,14.1998
